Time,United Kingdom on a Customs Basis,European Union excluding the United Kingdom on a Customs Basis,Japan on a Customs Basis,United Kingdom on a Balance of Trade Basis,European Union excluding the United Kingdom on a Balance of Trade Basis,Japan on a Balance of Trade Basis
01/99,"377,400,000","866,500,000","686,100,000","463,500,000","1,053,600,000","816,500,000"
02/99,"328,900,000","828,900,000","632,600,000","396,100,000","1,007,400,000","740,900,000"
03/99,"390,900,000","1,021,800,000","721,500,000","486,900,000","1,258,700,000","859,600,000"
04/99,"371,300,000","907,500,000","622,400,000","462,200,000","1,120,200,000","743,600,000"
05/99,"351,000,000","919,700,000","843,100,000","441,000,000","1,125,700,000","1,000,900,000"
06/99,"399,400,000","1,096,400,000","815,500,000","505,500,000","1,341,400,000","958,100,000"
07/99,"374,400,000","897,300,000","662,300,000","467,100,000","1,080,000,000","784,700,000"
08/99,"340,000,000","1,038,800,000","641,400,000","437,000,000","1,347,300,000","774,100,000"
09/99,"408,700,000","972,300,000","768,400,000","506,600,000","1,188,300,000","907,100,000"
10/99,"509,100,000","1,010,400,000","734,400,000","627,500,000","1,232,500,000","866,000,000"
11/99,"509,500,000","1,090,200,000","691,500,000","623,800,000","1,315,100,000","806,000,000"
12/99,"467,100,000","1,089,800,000","754,100,000","562,600,000","1,285,300,000","867,200,000"
01/00,"434,700,000","920,800,000","705,100,000","535,800,000","1,147,700,000","862,000,000"
02/00,"448,700,000","1,060,700,000","639,200,000","558,800,000","1,334,800,000","775,300,000"
03/00,"505,600,000","1,144,500,000","800,700,000","616,200,000","1,425,800,000","967,400,000"
04/00,"458,300,000","957,200,000","707,500,000","590,000,000","1,216,800,000","871,500,000"
05/00,"527,500,000","1,196,500,000","917,200,000","681,000,000","1,489,500,000","1,117,400,000"
06/00,"482,400,000","1,196,800,000","863,800,000","609,500,000","1,487,300,000","1,047,200,000"
07/00,"441,700,000","1,054,300,000","733,800,000","586,500,000","1,293,000,000","886,600,000"
08/00,"482,400,000","1,229,000,000","722,900,000","613,600,000","1,548,200,000","884,900,000"
09/00,"434,800,000","1,223,300,000","778,400,000","542,100,000","1,537,000,000","958,300,000"
10/00,"537,100,000","1,067,700,000","773,100,000","689,600,000","1,362,200,000","951,900,000"
11/00,"501,200,000","1,090,000,000","822,200,000","627,300,000","1,356,800,000","1,003,900,000"
12/00,"492,500,000","1,276,000,000","819,700,000","602,200,000","1,576,800,000","972,400,000"
01/01,"437,700,000","1,145,500,000","776,600,000","541,100,000","1,406,100,000","939,000,000"
02/01,"399,700,000","1,096,500,000","666,600,000","508,100,000","1,377,800,000","820,600,000"
03/01,"602,400,000","1,288,700,000","784,900,000","790,300,000","1,577,200,000","933,000,000"
